,BMK,MAFlat,MAShort,BB
AAPL,0.721821,1.012515,0.806178,-0.096171
CAD,0.04993,0.408297,0.507899,0.214248
EXC,0.069802,0.37406,0.41842,0.243767
FBNDX,0.154475,0.594255,0.698702,0.233353
GBP,-0.098023,0.379804,0.557126,0.175963
GE,-0.337078,0.247552,0.58942,0.348615
INTC,0.003376,0.205217,0.355448,0.44664
PFE,0.003526,0.210192,0.268598,0.488147
SPGSCI,0.120955,0.506139,0.612787,0.016683
SPY,0.185829,0.654915,0.563825,0.359695
VBTIX,0.1571,0.30374,0.353973,0.250141
XPT,0.094141,0.519437,0.635677,0.265567
